"Include Region","Include Region"
"e.g. ""en-GB"" instead of just ""en""","e.g. ""en-GB"" instead of just ""en"""
"Region from ""general/locale/code"" is used by default","Region from ""general/locale/code"" is used by default"
"Override Region","Override Region"
"Override Region Value","Override Region Value"
